"filename", "language", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\applicationDashboard.js", "JavaScript", 0, 78, 15, 0, 93
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\certificateDashboard.js", "JavaScript", 0, 55, 2, 0, 57
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\dashboard2models.js", "JavaScript", 0, 3, 0, 0, 3
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\dealDashboard.js", "JavaScript", 0, 52, 4, 0, 56
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\generalDonutChart.js", "JavaScript", 0, -47, 0, 0, -47
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\postDashboard.js", "JavaScript", 0, 41, 10, 0, 51
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\reviewDashboard.js", "JavaScript", 0, 41, 4, 0, 45
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\userDashboard.js", "JavaScript", 0, 48, 4, 0, 52
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\workerDashboard.js", "JavaScript", 0, 62, 4, 0, 66
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\checkOwnerPortfolioPost.js", "JavaScript", 0, 14, 1, 0, 15
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\createPortfolioPost.js", "JavaScript", 0, 27, 1, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\deletePortfolioPost.js", "JavaScript", 0, 25, 3, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\getPortfolioPostById.js", "JavaScript", 0, 78, 1, 0, 79
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\likePortfolioPost.js", "JavaScript", 0, 42, 2, 0, 44
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\updatePortfolioPost.js", "JavaScript", 0, 73, 5, 0, 78
"d:\Lenovo\Documents\Project2CP\dist\controller\validationRequestController.js", "JavaScript", 0, 1, 1, 0, 2
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\certificatesController.js", "JavaScript", 0, 3, 1, 0, 4
"d:\Lenovo\Documents\Project2CP\dist\models\Certificate.js", "JavaScript", 0, 26, 1, 0, 27
"d:\Lenovo\Documents\Project2CP\dist\models\Worker.js", "JavaScript", 0, 1, 0, 0, 1
"d:\Lenovo\Documents\Project2CP\dist\routes\dashboardRouter.js", "JavaScript", 0, 22, -2, 0, 20
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\certificateDashboard.ts", "TypeScript", 2, 0, 0, 0, 2
"d:\Lenovo\Documents\Project2CP\src\controller\validationRequestController.ts", "TypeScript", 4, 0, -1, 0, 3
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\certificatesController.ts", "TypeScript", 1, 0, 0, 0, 1
"d:\Lenovo\Documents\Project2CP\src\models\Worker.ts", "TypeScript", 20, 0, 5, 1, 26
"d:\Lenovo\Documents\Project2CP\src\models\WorkerDoc.ts", "TypeScript", 1, 0, 0, 0, 1
"Total", "-", 28, 645, 61, 1, 735
