"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Pug", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\app.js", "JavaScript", 0, 0, -72, 0, -16, 0, -88
"d:\Lenovo\Documents\Project2CP\dist\controller\applicationController.js", "JavaScript", 0, 0, -23, 0, -1, 0, -24
"d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\applyPost.js", "JavaScript", 0, 0, -52, 0, -1, 0, -53
"d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\checkOwnerApplication.js", "JavaScript", 0, 0, -49, 0, -1, 0, -50
"d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\getMyApplications.js", "JavaScript", 0, 0, -28, 0, -14, 0, -42
"d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\getMyPostsApplications.js", "JavaScript", 0, 0, -11, 0, -11, 0, -22
"d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\updateApplication.js", "JavaScript", 0, 0, -22, 0, -1, 0, -23
"d:\Lenovo\Documents\Project2CP\dist\controller\authController.js", "JavaScript", 0, 0, -44, 0, -1, 0, -45
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\createAndSendToken.js", "JavaScript", 0, 0, -17, 0, -15, 0, -32
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\forgotPassword.js", "JavaScript", 0, 0, -32, 0, -19, 0, -51
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\isLoggedIn.js", "JavaScript", 0, 0, -44, 0, -5, 0, -49
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\login.js", "JavaScript", 0, 0, -36, 0, -6, 0, -42
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\logout.js", "JavaScript", 0, 0, -12, 0, -10, 0, -22
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\protect.js", "JavaScript", 0, 0, -37, 0, -37, 0, -74
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\resendEmailVerification.js", "JavaScript", 0, 0, -41, 0, -1, 0, -42
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\resetPassword.js", "JavaScript", 0, 0, -34, 0, -7, 0, -41
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\restrictTo.js", "JavaScript", 0, 0, -16, 0, -4, 0, -20
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\signup.js", "JavaScript", 0, 0, -46, 0, -5, 0, -51
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\signupAsWorker.js", "JavaScript", 0, 0, -101, 0, -22, 0, -123
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\switchRole.js", "JavaScript", 0, 0, -33, 0, -10, 0, -43
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\updateEmail.js", "JavaScript", 0, 0, -28, 0, -18, 0, -46
