"filename", "language", "TypeScript", "Pug", "JSON", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\src\app.ts", "TypeScript", 74, 0, 0, 15, 12, 101
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController.ts", "TypeScript", 30, 0, 0, 0, 3, 33
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\applyPost.ts", "TypeScript", 67, 0, 0, 0, 10, 77
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\checkOwnerApplication.ts", "TypeScript", 70, 0, 0, 0, 7, 77
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\getMyApplications.ts", "TypeScript", 27, 0, 0, 13, 10, 50
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\getMyPostsApplications.ts", "TypeScript", 10, 0, 0, 10, 5, 25
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\updateApplication.ts", "TypeScript", 29, 0, 0, 0, 4, 33
"d:\Lenovo\Documents\Project2CP\src\controller\authController.ts", "TypeScript", 43, 0, 0, 0, 4, 47
"d:\Lenovo\Documents\Project2CP\src\controller\authController\createAndSendToken.ts", "TypeScript", 23, 0, 0, 16, 2, 41
"d:\Lenovo\Documents\Project2CP\src\controller\authController\forgotPassword.ts", "TypeScript", 36, 0, 0, 18, 8, 62
"d:\Lenovo\Documents\Project2CP\src\controller\authController\isLoggedIn.ts", "TypeScript", 47, 0, 0, 4, 7, 58
"d:\Lenovo\Documents\Project2CP\src\controller\authController\login.ts", "TypeScript", 44, 0, 0, 5, 6, 55
"d:\Lenovo\Documents\Project2CP\src\controller\authController\logout.ts", "TypeScript", 8, 0, 0, 14, 1, 23
"d:\Lenovo\Documents\Project2CP\src\controller\authController\protect.ts", "TypeScript", 41, 0, 0, 52, 5, 98
"d:\Lenovo\Documents\Project2CP\src\controller\authController\resendEmailVerification.ts", "TypeScript", 44, 0, 0, 0, 10, 54
"d:\Lenovo\Documents\Project2CP\src\controller\authController\resetPassword.ts", "TypeScript", 32, 0, 0, 6, 7, 45
"d:\Lenovo\Documents\Project2CP\src\controller\authController\restrictTo.ts", "TypeScript", 16, 0, 0, 3, 4, 23
"d:\Lenovo\Documents\Project2CP\src\controller\authController\signup.ts", "TypeScript", 57, 0, 0, 4, 10, 71
"d:\Lenovo\Documents\Project2CP\src\controller\authController\signupAsWorker.ts", "TypeScript", 128, 0, 0, 21, 8, 157
"d:\Lenovo\Documents\Project2CP\src\controller\authController\switchRole.ts", "TypeScript", 39, 0, 0, 9, 4, 52
"d:\Lenovo\Documents\Project2CP\src\controller\authController\updateEmail.ts", "TypeScript", 26, 0, 0, 26, 5, 57
"d:\Lenovo\Documents\Project2CP\src\controller\authController\updatePassword.ts", "TypeScript", 26, 0, 0, 6, 5, 37
"d:\Lenovo\Documents\Project2CP\src\controller\authController\verifyEmail.ts", "TypeScript", 33, 0, 0, 0, 7, 40
"d:\Lenovo\Documents\Project2CP\src\controller\authController\verifyWorkerSignup.ts", "TypeScript", 17, 0, 0, 0, 3, 20
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\applicationDashboard.ts", "TypeScript", 81, 0, 0, 22, 17, 120
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\certificateDashboard.ts", "TypeScript", 52, 0, 0, 17, 6, 75
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard1model.ts", "TypeScript", 160, 0, 0, 22, 24, 206
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard2models.ts", "TypeScript", 182, 0, 0, 30, 22, 234
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard3models.ts", "TypeScript", 179, 0, 0, 30, 22, 231
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dealDashboard.ts", "TypeScript", 52, 0, 0, 15, 7, 74
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\generalDonutChart.ts", "TypeScript", 79, 0, 0, 66, 10, 155
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\postDashboard.ts", "TypeScript", 34, 0, 0, 17, 7, 58
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\reviewDashboard.ts", "TypeScript", 35, 0, 0, 11, 7, 53
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\test.ts", "TypeScript", 0, 0, 0, 59, 1, 60
